Sunburst,Drd 8; Sor/Wiz 8; Sun 8, Evocation/Fire/Void/Spirit, Light, V S M/DF, 1 standard action, Instantaneous, Long (400 ft. + 40 ft./level), Reflex partial; see text, Yes, Blinds all within 10 ft.; deals 6d6 damage.
Spiritual Weapon,Clr 2; War 2, Evocation/Fire/Spirit/Air/Earth/Void, Force, V S DF, 1 standard action, 1 round/level (D), Medium (100 ft. + 10 ft./level), None, Yes, Magical weapon attacks on its own.
Restoration,Adp 4; Clr 4; Pal 4, Conjuration/Spirit/Void/Water, , V S M, , , , , , Restores level and ability score drains.
Command Undead,Sor/Wiz 2, Necromancy/Void/Fire/Water, , V S M, 1 standard action, One day/level, Close (25 ft. + 5 ft./2 levels), Will negates; see text, Yes, Undead creature obeys your commands.
Cause Fear,Adp 1; Blk 1; Brd 1; Clr 1; Death 1; Sor/Wiz 1, Necromancy/Void/Spirit, Fear; Mind-Affecting, V S, 1 standard action, 1d4 rounds or 1 round; see text, Close (25 ft. + 5 ft./2 levels), Will partial, Yes, One creature of 5 HD or less flees fors1d4 rounds.
Blink,Brd 3; Sor/Wiz 3, Transmutation/Earth/Water/Void/Air/Spirit, , V S, 1 standard action, 1 round/level (D), Personal, , , You randomly vanish and reappear for 1 round/level.
Summon Monster I,Blk 1; Brd 1; Clr 1; Sor/Wiz 1, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , V S F/DF, 1 round, 1 round/level (D), Close (25 ft. + 5 ft./2 levels), None, No, Calls extraplanar creature to fightsfor you.
Blight,Drd 4; Sor/Wiz 5, Necromancy/Void/Earth/Spirit, , V S DF, 1 standard action, Instantaneous, Touch, Fortitude half; see text, Yes, Withers one plant or deals 1d6/levelsdamagesto plant creature.
Restoration  Greater,Clr 7, Conjuration/Spirit/Void/Air/Water, , V S XP, 10 minutes, , , , , As restoration; plus restores allslevels andsability scores.
Control Undead,Sor/Wiz 7, Necromancy/Void/Fire, , V S M, 1 standard action, 1 min./level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Undead don't attack you while undersyour command.
Deeper Darkness,Adp 3; Asn 3; Blk 3; Clr 3, Evocation/Fire/Void/Air/Spirit, Darkness, , , One day/level (D), , , , Object sheds supernatural shadow ins60-ft. radius.
Vampiric Touch,Sor/Wiz 3, Necromancy/Void, , V S, 1 standard action, Instantaneous/1 hour; see text, Touch, None, Yes, Touch deals 1d6/two levels damage;scastersgains damage as hp.
Divine Favor,Clr 1; Pal 1, Evocation/Fire/Void/Air/Earth, , V S DF, 1 standard action, 1 minute, Personal, , , You gain +1 per three levels on attacksandsdamage rolls.
Inflict Critical Wounds,Blk 4; Clr 4; Destruction 4, Necromancy/Void/Fire, , , , , , , , Touch attack; 4d8 damage +1/level (max +20).
Align Weapon,Clr 2, Transmutation/Water/Void/Earth/Spirit, , V S DF, 1 standard action, 1 min./level, Touch, Will negates (harmless object), Yes (harmless object), Weapon becomes good; evil; lawful; or chaotic.
Chill Touch,Sor/Wiz 1, Necromancy/Void/Earth/Spirit, , V S, 1 standard action, Instantaneous, Touch, Fortitude partial or Will negates; see text, Yes, One touch/level deals 1d6 damage andspossibly 1 Str damage.
Grease,Brd 1; Sor/Wiz 1, Conjuration/Spirit/Void, , V S M, 1 standard action, 1 round/level (D), Close (25 ft. + 5 ft./2 levels), See text, No, Makes 10-ft. square or one object slippery.
Symbol of Sleep,Clr 5; Sor/Wiz 5, Enchantment/Air/Void/Fire, Mind-Affecting, , , , , Will negates, , Triggered rune puts nearby creaturessintoscatatonic slumber.
Magic Circle against Law,Chaos 3; Clr 3; Sor/Wiz 3, Abjuration/Earth/Void, Chaotic, , , , , , , As protection spells; but 10-ft.sradius ands10 min./level.
Planar Binding  Lesser,Sor/Wiz 5, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , V S, 10 minutes, Instantaneous, Close (25 ft. + 5 ft./2 levels); see text, Will negates, No and Yes; see text, Traps extraplanar creature of 6 HD orslesssuntil it performs a task.
Antipathy,Drd 9; Sor/Wiz 8, Enchantment/Air/Void/Spirit, Mind-Affecting, V S M/DF, 1 hour, 2 hours/level (D), Close (25 ft. + 5 ft./2 levels), Will partial, Yes, Object or location affected by spellsrepelsscertain creatures.
Magic Circle against Evil,Clr 3; Good 3; Pal 3; Sor/Wiz 3, Abjuration/Earth/Void/Air/Fire/Water/Spirit, Good, V S M/DF, 1 standard action, 10 min./level, Touch, Will negates (harmless), No; see text, As protection from evil; but 10-ft.sradiussand 10 min./level.
Earthquake,Clr 8; Destruction 8; Drd 8; Earth 7, Evocation/Fire/Earth/Water/Void/Spirit, Earth, V S DF, 1 standard action, 1 round, Long (400 ft. + 40 ft./level), See text, No, Intense tremor shakes 5-ft./level radius.
Fog Cloud,Drd 2; Sor/Wiz 2; Water 2, Conjuration/Water/Spirit, , V S, 1 standard action, 10 min./level, Medium (100 ft. + 10 ft. level), None, No, Fog obscures vision.
Cloak of Chaos,Chaos 8; Clr 8, Abjuration/Earth/Void/Air/Fire/Spirit, Chaotic, V S F, 1 standard action, 1 round/level (D), 20 ft., See text, Yes (harmless), +4 to AC; +4 resistance; SR 25 againstslawful spells.
Detect Animals or Plants,Drd 1; Rgr 1, Divination/Water/Air/Earth/Spirit, , V S, 1 standard action, Concentration up to 10 min./level (D), Long (400 ft. + 40 ft./level), None, No, Detects kinds of animals or plants.
Animal Messenger,Brd 2; Drd 2; Rgr 1, Enchantment/Air/Water/Spirit, Mind-Affecting, V S M, 1 standard action, One day/level, Close (25 ft. + 5 ft./2 levels), None; see text, Yes, Sends a Tiny animal to a specific place.
Telepathic Bond,Sor/Wiz 5, Divination/Water/Spirit, , V S M, 1 standard action, 10 min./level (D), Close (25 ft. + 5 ft./2 levels), None, No, Link lets allies communicate.
Summon Nature's Ally II,Drd 2; Rgr 2, Conjuration/Spirit, , , , , , , , Calls animal to fight for you.
Speak with Animals,Brd 3; Drd 1; Rgr 1, Divination/Water/Fire/Spirit, , V S, 1 standard action, 1 min./level, Personal, , , You can communicate with animals.
Dispel Magic  Greater,Brd 5; Clr 6; Drd 6; Sor/Wiz 6, Abjuration/Earth/Spirit, , , , , , , , As dispel magic; but +20 on check.
Holy Sword,Pal 4, Evocation/Fire/Void/Earth/Spirit, Good, V S, 1 standard action, 1 round/level, Touch, None, No, Weapon becomes +5; deals +2d6 damagesagainst evil.
Contact Other Plane,Sor/Wiz 5, Divination/Water/Void/Fire/Spirit, , V, 10 minutes, Concentration, Personal, , , Lets you ask question of extraplanar entity.
Freezing Sphere,Sor/Wiz 6, Evocation/Fire/Water/Air/Earth/Spirit, Cold, V S F, 1 standard action, Instantaneous or 1 round/level; see text, Long (400 ft. + 40 ft./level), Reflex half; see text, Yes, Freezes water or deals cold damage.
Prestidigitation,Brd 0; Sor/Wiz 0, Universal/Air/Fire/Earth/Spirit, , V S, 1 standard action, 1 hour, 10 ft., See text, No, Performs minor tricks.
Move Earth,Drd 6; Sor/Wiz 6, Transmutation/Earth/Water/Spirit, Earth, V S M, See text, Instantaneous, Long (400 ft. + 40 ft./level), None, No, Digs trenches and build hills.
Acid Arrow,Sor/Wiz 2, Conjuration/Spirit, Acid, V S M F, 1 standard action, 1 round + 1 round per three levels, Long (400 ft. + 40 ft./level), None, No, Ranged touch attack; 2d4 damage for 1srounds+1 round/three levels.
Tree Shape,Drd 2; Rgr 3, Transmutation/Water/Air/Spirit, , V S DF, 1 standard action, 1 hour/level (D), Personal, , , You look exactly like a tree for 1 hour/level.
Delay Poison,Adp 2; Brd 2; Clr 2; Drd 2; Pal 2; Rgr 1, Conjuration/Spirit/Water, , V S DF, 1 standard action, 1 hour/level, Touch, Fortitude negates (harmless), Yes (harmless), Stops poison from harming subject fors1 hour/level.
Wind Walk,Clr 6; Drd 7, Transmutation/Water/Air/Fire/Spirit, Air, V S DF, 1 standard action, 1 hour/level (D); see text, Touch, No and Will negates (harmless), No and Yes (harmless), You and your allies turn vaporous andstravel fast.
Wish,Sor/Wiz 9, Universal/Void/Water/Spirit, , V XP, 1 standard action, See text, See text, See text, Yes, As limited wish; but with fewer limits.
Forbiddance,Clr 6, Abjuration/Earth/Void/Fire/Spirit, , V S M DF, 6 rounds, Permanent, Medium (100 ft. + 10 ft./level), See text, Yes, Blocks planar travel; damagesscreatures ofsdifferent alignment.
Clairaudience/Clairvoyance,Asn 4; Brd 3; Knowledge 3; Sor/Wiz 3, Divination/Water/Air/Spirit, , V S F/DF, 10 minutes, 1 min./level (D), Long (400 ft. + 40 ft./level), None, No, Hear or see at a distance for 1 min./level.
Sculpt Sound,Brd 3, Transmutation/Water/Spirit, , V S, 1 standard action, 1 hour/level (D), Close (25 ft. + 5 ft./2 levels), Will negates (object), Yes  (object), Creates new sounds or changes existing ones.
Bless Weapon,Pal 1, Transmutation/Water/Void/Earth/Spirit, , V S, 1 standard action, 1 min./level, Touch, None, No, Weapon strikes true against evil foes.
Unhallow,Clr 5; Drd 5, Evocation/Fire/Void/Air/Earth/Spirit, Evil, V S M, 24 hours, Instantaneous, Touch, See text, See text, Designates location as unholy.
Daylight,Adp 3; Brd 3; Clr 3; Drd 3; Pal 3; Sor/Wiz 3, Evocation/Fire/Void/Spirit, Light, V S, 1 standard action, 10 min./level (D), Touch, None, No, 60-ft. radius of bright light.
Illusory Script,Asn 2; Brd 3; Sor/Wiz 3, Illusion/Air/Earth/Spirit, Mind-Affecting, V S M, 1 minute or longer; see text, One day/level (D), Touch, Will negates; see text, Yes, Only intended reader can decipher.
Dimension Door,Asn 4; Brd 4; Sor/Wiz 4; Travel 4, Conjuration/Spirit/Void, , V, 1 standard action, Instantaneous, Long (400 ft. + 40 ft./level), None and Will negates (object), No and Yes (object), Teleports you short distance.
Animal Shapes,Animal 7; Drd 8, Transmutation/Water/Spirit, , V S DF, 1 standard action, 1 hour/level (D), Close (25 ft. + 5 ft./2 levels), None; see text, Yes (harmless), One ally/level polymorphs into chosen animal.
Shadow Walk,Brd 5; Sor/Wiz 6, Illusion/Air/Void/Water/Spirit, , V S, 1 standard action, 1 hour/level (D), Touch, Will negates, Yes, Step into shadow to travel rapidly.
Purify Food and Drink,Adp 0; Clr 0; Drd 0, Transmutation/Water/Spirit, , V S, 1 standard action, Instantaneous, 10 ft., Will negates (object), Yes (object), Purifies 1 cu. ft./level of food or water.
Wall of Stone,Adp 5; Clr 5; Drd 6; Earth 5; Sor/Wiz 5, Conjuration/Spirit/Void/Air/Earth, Earth, V S M/DF, 1 standard action, Instantaneous, Medium (100 ft. + 10 ft./level), See text, No, Creates a stone wall that can be shaped.
Secret Chest,Sor/Wiz 5, Conjuration/Earth/Water/Spirit/Air/Fire, , V S F, 10 minutes, Sixty days or until discharged, See text, None, No, Hides expensive chest on EtherealsPlane; yousretrieve it at will.
Poison,Asn 4; Blk 4; Clr 4; Drd 3, Necromancy/Void/Water/Spirit, , V S DF, 1 standard action, Instantaneous; see text, Touch, Fortitude negates; see text, Yes, Touch deals 1d10 Con damage; repeatssin 1 min.
Chain Lightning,Air 6; Sor/Wiz 6, Evocation/Fire/Spirit, Electricity, V S F, 1 standard action, Instantaneous, Long (400 ft. + 40 ft./level), Reflex half, Yes, 1d6/level damage; 1 secondarysbolt/levelseach deals half damage.
Arcane Mark,Sor/Wiz 0, Universal/Air/Fire/Spirit, , V S, 1 standard action, Permanent, 0 ft., None, No, Inscribes a personal rune (visible or invisible).
Word of Recall,Clr 6; Drd 8, Conjuration/Spirit/Void, , V, 1 standard action, Instantaneous, Unlimited, None or Will negates (harmless object), No or Yes (harmless object), Teleports you back to designated place.
Shadow Conjuration,Brd 4; Sor/Wiz 4, Illusion/Air/Spirit/Earth, , V S, 1 standard action, See text, See text, Will disbelief (if interacted with);       varies; see text, Yes; see text, Mimics conjuration below 4th level;sbut onlys20% real.
Storm of Vengeance,Drd 9; Clr 9, Conjuration/Spirit/Fire/Earth/Water, , V S, 1 round, Concentration (maximum 10 rounds) (D), Long (400 ft. + 40 ft./level), See text, Yes, Storm rains acid; lightning; and hail.
Mirror Image,Adp 2; Brd 2; Sor/Wiz 2, Illusion/Air/Fire/Spirit, , V S, 1 standard action, 1 min./level (D), Personal; see text, , , Creates decoy duplicates of you (1d4s+1 persthree levels; max 8).
Death Knell,Blk 2; Clr 2; Death 2, Necromancy/Void/Earth/Spirit, Death; Evil, V S, 1 standard action, Instantaneous/10 minutes per HD of subject; see text, Touch, Will negates, Yes, Kill dying creature and gain 1d8stemporaryshp; +2 to Str; and +1 caster level.
Implosion,Clr 9; Destruction 9, Evocation/Fire/Spirit, , V S, 1 standard action, Concentration (up to 4 rounds), Close (25 ft. + 5 ft./2 levels), Fortitude negates, Yes, Kills one creature/round.
Secure Shelter,Brd 4; Sor/Wiz 4, Conjuration/Fire/Spirit/Earth/Water, , V S M F; see text, 10 minutes, 2 hours/level (D), Close (25 ft. + 5 ft./2 levels), None, No, Creates sturdy cottage.
Command,Adp 1; Clr 1, Enchantment/Air/Fire/Spirit, Language-Dependent; Mind-Affecting, V, 1 standard action, 1 round, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, One subject obeys selected command fors1 round.
Holy Smite,Good 4, Evocation/Fire/Void/Spirit, Good, V S, 1 standard action, Instantaneous (1 round); see text, Medium (100 ft. + 10 ft./level), Will partial; see text, Yes, Damages and blinds evil creatures.
Planar Binding,Sor/Wiz 6, Conjuration/Spirit, , V S, , , , , , As lesser planar binding; but up to 12 HD.
Freedom,Sor/Wiz 9, Abjuration/Earth/Spirit, , V S, 1 standard action, Instantaneous, Close (25 ft. + 5 ft./2 levels) or see text, Will negates (harmless), Yes, Releases creature from imprisonment.
Speak with Dead,Clr 3, Necromancy/Void/Water/Spirit, Language-Dependent, V S DF, 10 minutes, 1 min./level, 10 ft., Will negates; see text, No, Corpse answers one question/two levels.
Reverse Gravity,Drd 8; Sor/Wiz 7, Transmutation/Water/Air/Fire/Spirit, , V S M/DF, 1 standard action, 1 round/level (D), Medium (100 ft. + 10 ft./level), None; see text, No, Objects and creatures fall upward.
Transmute Mud to Rock,Drd 5; Sor/Wiz 5, Transmutation/Water/Earth/Spirit, Earth, V S M/DF, 1 standard action, Permanent, Medium (100 ft. + 10 ft./level), See text, No, Transforms two 10-ft. cubes per level.
Darkness,Adp 2; Asn 2; Blk 2; Brd 2; Clr 2; Sor/Wiz 2, Evocation/Fire/Void/Air/Spirit, Darkness, V M/DF, 1 standard action, 10 min./level (D), Touch, None, No, 20-ft. radius of supernatural shadow.
Mage's Sword,Sor/Wiz 7, Evocation/Fire/Spirit, Force, V S F, 1 standard action, 1 round/level (D), Close (25 ft. + 5 ft./2 levels), None, Yes, Floating magic blade strikes opponents.
Neutralize Poison,Adp 3; Brd 4; Clr 4; Drd 3; Pal 4; Rgr 3, Conjuration/Spirit/Water, , V S M/DF, 1 standard action, 10 min./level, Touch, Will negates (harmless object), Yes (harmless object), Immunizes subject against poison;sdetoxifiessvenom in or on subject.
Teleportation Circle,Sor/Wiz 9, Conjuration/Spirit/Fire/Void, , V M, 10 minutes, 10 min./level (D), 0 ft., None, Yes, Circle teleports any creature insidestosdesignated spot.
Fire Trap,Drd 2; Sor/Wiz 4, Abjuration/Fire/Earth/Water/Spirit, Fire, V S M, 10 minutes, Permanent until discharged (D), Touch, Reflex half; see text, Yes, Opened object deals 1d4 damage +1/level.
Detect Good,Adp 1; Clr 1, Divination/Water/Void/Spirit, , , , , , , , Sense the presence of good.
Tree Stride,Drd 5; Rgr 4, Conjuration/Spirit/Void, , V S DF, 1 standard action, 1 hour/level or until expended; see text, Personal, , , Step from one tree to another far away.
Shadow Conjuration  Greater,Sor/Wiz 7, Illusion/Air/Spirit, , , , , , , , As shadow conjuration; but up to 6thslevelsand 60% real.
Remove Blindness/Deafness,Clr 3; Pal 3, Conjuration/Spirit/Air/Water, , V S, 1 standard action, Instantaneous, Touch, Fortitude negates (harmless), Yes (harmless), Cures normal or magical conditions.
Gate,Clr 9; Sor/Wiz 9, Conjuration/Fire/Earth/Water/Spirit/Void/Air, , V S XP; see text, 1 standard action, Instantaneous or concentration (up to 1
      round/level); see text, Medium (100 ft. + 10 ft./level), None, No, Connects two planes for travel or summoning.
Continual Flame,Adp 3; Clr 3; Sor/Wiz 2, Evocation/Fire/Void/Spirit, Light, V S M, 1 standard action, Permanent, Touch, None, No, Makes a permanent; heatless torch.
Righteous Might,Clr 5; Strength 5, Transmutation/Fire/Water/Void/Earth/Spirit, , V S DF, 1 standard action, 1 round/level (D), Personal, , , Your size increases; and you gainscombat bonuses.
Changestaff,Drd 7, Transmutation/Water/Earth/Spirit, , V S F, 1 round, 1 hour/level (D), Touch, None, No, Your staff becomes a treant on command.
Spike Growth,Drd 3; Rgr 2, Transmutation/Earth/Water/Spirit, , V S DF, 1 standard action, 1 hour/level (D), Medium (100 ft. + 10 ft./level), Reflex partial, Yes, Creatures in area take 1d4 damage; maysbe slowed.
Consecrate,Clr 2, Evocation/Fire/Spirit, Good, V S M DF, 1 standard action, 2 hours/level, Close (25 ft. + 5 ft./2 levels), None, No, Fills area with positive energy;smakingsundead weaker.
Hold Portal,Sor/Wiz 1, Abjuration/Earth/Air/Water/Spirit, , V, 1 standard action, 1 min./level (D), Medium (100 ft. + 10 ft./level), None, No, Holds door shut.
Ghoul Touch,Sor/Wiz 2, Necromancy/Void/Water/Spirit, , V S M, 1 standard action, 1d6+2 rounds, Touch, Fortitude negates, Yes, Paralyzes one subject; which exudes stEnch
Telekinesis,Sor/Wiz 5, Transmutation/Water/Air/Fire/Earth/Spirit, , V S, 1 standard action, Concentration (up to 1 round/ level) or
      instantaneous; see text, Long (400 ft. + 40 ft./level), Will negates (object) or None; see text, Yes  (object); see text, Moves object; attacks creature; orshurlssobject or creature.
Contingency,Sor/Wiz 6, Evocation/Fire/Spirit, , V S M F, At least 10 minutes; see text, One day/level (D) or until discharged, Personal, , , Sets trigger condition for another spell.
Phase Door,Sor/Wiz 7; Travel 8, Conjuration/Spirit/Air/Earth, , V, 1 standard action, One usage per two levels, 0 ft., None, No, Creates an invisible passage throughswood or stone.
Globe of Invulnerability  Lesser,Sor/Wiz 4, Abjuration/Earth/Spirit, , V S M, 1 standard action, 1 round/level (D), 10 ft., None, No, Stops 1st- through 3rd-level spell effects.
Forcecage,Sor/Wiz 7, Evocation/Fire/Void/Air/Earth/Spirit, Force, V S M, 1 standard action, 2 hours/level (D), Close (25 ft. + 5 ft./2 levels), None, No, Cube or cage of force imprisons all inside.
Dominate Person,Brd 4; Sor/Wiz 5, Enchantment/Air/Void/Fire/Earth/Spirit, Mind-Affecting, V S, 1 round, One day/level, Close (25 ft. + 5 ft./2 levels), Will negates, Yes, Controls humanoid telepathically.
Dispel Law,Chaos 5; Clr 5, Abjuration/Earth/Void/Spirit, Chaotic, , , , , , , +4 bonus against attacks by lawful creatures.
Eyebite,Brd 6; Sor/Wiz 6, Necromancy/Void/Earth/Spirit, Evil, V S, 1 standard action, 1 round per three levels; see text, Close (25 ft. + 5 ft./2 levels), Fortitude negates, Yes, Target becomes panicked; sickened; and comatose.
